"Incident_ID","Date","School","City","State","Summary","Targets"
"20211012ARLIL","2021-10-12","Little Rock Central High School","Little Rock","AR","Multiple bullets struck school and broke an occupied classroom window","Random Shooting"
"20211011ORROP","2021-10-11","Rosemary Anderson High School","Portland","OR","Teen student was shot at shopping center, to school for assistance","null"
"20211008OKCOC","2021-10-08","Comanche Middle School","Comanche","OK","Student shot out glass door to cafeteria, staff member was inside","Random Shooting"
"20211007TXEAW","2021-10-07","East Chambers High School","Winnie","TX","Teen girl hit by stray bullet","Random Shooting"
"20211007PAANP","2021-10-07","Antonia Pantoja Charter School","Philadelphia","PA","Multiple shots broke windows of the cafeteria, bullets found inside","Neither"
"20211007NCEAD","2021-10-07","Eastway Elementary School","Durham","NC","Man found dead in vehicle in the school parking lot","Victims Targeted"
"20211007DCWAW","2021-10-07","Walkins Elementary School","Washington","DC","Man shot following flag football game","Victims Targeted"
"20211006TXTIA","2021-10-06","Timberview High School","Arlington","TX","Shots fired during fight inside a classroom","Both"
"20211005NDHEH","2021-10-05","Hettinger Public School","Hettinger","ND","Student walked into classroom and shot self in front of the class","Victims Targeted"
"20211005NCGAC","2021-10-05","Garinger High School","Charlotte","NC","Student fired shot at vehicle and then ran inside the school, lockdown, gun recovered","Victims Targeted"
"20211004PASCP","2021-10-04","School of the Future","Philadelphia","PA","Active shooter fled workplace shooting scene, shootout with police behind school","Both"
"20211004OHWOT","2021-10-04","Woodward High School","Toledo","OH","Student shot across the street, ran to school for assistance","null"
"20211004NMSAS","2021-10-04","Santa Fe Indian School","Santa Fe","NM","Man fired shots and attempted to steal vehicles, arrested on school property","Random Shooting"
"20211004ILLAC","2021-10-04","Lakeview High School","Chicago","IL","Shots fired in school parking lot","null"
"20211001TXYEH","2021-10-01","YES Prep","Houston","TX","Former student attacked school targeting specific staff member","Both"
"20211001NJCHC","2021-10-01","Cherry Hill West High School","Cherry Hill","NJ","Male fired 8 shots at the football stadium stands then fled","Random Shooting"
"20211001NCSEF","2021-10-01","Seventy-First High School","Fayetteville","NC","Two teens shot in parking lot following football game","Victims Targeted"
